x,y,fixation
750.0,433.0,100
496.0,453.0,100
318.0,132.0,100
521.0,196.0,100
58.0,203.0,100
911.0,379.0,100
541.0,517.0,100
442.0,450.0,100
115.0,186.0,100
188.0,180.0,100
252.0,533.0,100
725.0,152.0,100
572.0,197.0,100
81.0,274.0,100
238.0,532.0,100
703.0,441.0,100
356.0,316.0,100
345.0,157.0,100
337.0,215.0,100
889.0,441.0,100
597.0,179.0,100
332.0,155.0,100
313.0,264.0,100
636.0,424.0,100
805.0,328.0,100
479.0,341.0,100
591.0,269.0,100
579.0,165.0,100
369.0,234.0,100
365.0,123.0,100
551.0,191.0,100
493.0,314.0,100
133.0,215.0,100
582.0,161.0,100
241.0,475.0,100
529.0,296.0,100
487.0,209.0,100
432.0,183.0,100
338.0,537.0,100
888.0,432.0,100
592.0,362.0,100
454.0,467.0,100
526.0,202.0,100
80.0,264.0,100
332.0,233.0,100
540.0,235.0,100
265.0,179.0,100
134.0,170.0,100
397.0,154.0,100
959.0,412.0,100
466.0,199.0,100
830.0,339.0,100
347.0,325.0,100
593.0,451.0,100
428.0,545.0,100
793.0,371.0,100
438.0,184.0,100
521.0,419.0,100
505.0,122.0,100
621.0,144.0,100
231.0,365.0,100
965.0,252.0,100
879.0,329.0,100
619.0,349.0,100
39.0,182.0,100
981.0,207.0,100
1030.0,113.0,100
785.0,72.0,100
689.0,188.0,100
85.0,161.0,100
774.0,331.0,100
93.0,285.0,100
685.0,465.0,100
403.0,176.0,100
396.0,265.0,100
698.0,381.0,100
395.0,335.0,100
293.0,470.0,100
428.0,175.0,100
668.0,479.0,100
745.0,453.0,100
764.0,426.0,100
237.0,417.0,100
718.0,44.0,100
452.0,385.0,100
18.0,7.0,100
131.0,243.0,100
96.0,302.0,100
427.0,457.0,100
346.0,324.0,100
351.0,268.0,100
412.0,226.0,100
383.0,418.0,100
527.0,172.0,100
416.0,155.0,100
374.0,113.0,100
802.0,378.0,100
883.0,399.0,100
718.0,435.0,100
801.0,397.0,100
500.0,255.0,100
758.0,307.0,100
771.0,255.0,100
97.0,200.0,100
105.0,188.0,100
206.0,186.0,100
561.0,133.0,100
358.0,141.0,100
300.0,305.0,100
429.0,544.0,100
469.0,379.0,100
454.0,217.0,100
683.0,504.0,100
970.0,254.0,100
275.0,234.0,100
413.0,257.0,100
484.0,71.0,100
434.0,138.0,100
994.0,75.0,100
1186.0,50.0,100
120.0,186.0,100
745.0,151.0,100
602.0,236.0,200
520.0,251.0,100
706.0,409.0,100
77.0,232.0,100
347.0,194.0,100
341.0,209.0,100
328.0,160.0,100
343.0,235.0,100
380.0,419.0,100
438.0,465.0,100
288.0,245.0,100
265.0,272.0,100
628.0,241.0,100
577.0,161.0,100
487.0,329.0,100
401.0,351.0,100
838.0,131.0,100
413.0,156.0,100
545.0,196.0,100
967.0,407.0,100
792.0,435.0,100
905.0,402.0,100
804.0,432.0,100
385.0,542.0,100
557.0,557.0,100
737.0,424.0,100
542.0,450.0,100
470.0,268.0,100
908.0,427.0,100
351.0,-66.0,100
428.0,168.0,100
289.0,357.0,100
395.0,249.0,100
787.0,201.0,100
412.0,100.0,100
592.0,69.0,100
294.0,222.0,100
374.0,275.0,100
1034.0,179.0,100
996.0,72.0,100
566.0,236.0,100
348.0,264.0,100
707.0,407.0,100
50.0,200.0,100
134.0,124.0,100
125.0,267.0,100
218.0,181.0,100
496.0,181.0,100
319.0,203.0,100
311.0,135.0,100
318.0,237.0,100
367.0,142.0,100
738.0,244.0,100
553.0,313.0,100
371.0,228.0,100
360.0,201.0,100
522.0,219.0,100
900.0,394.0,100
986.0,423.0,100
732.0,418.0,100
299.0,487.0,100
264.0,538.0,100
784.0,202.0,100
702.0,334.0,100
763.0,397.0,100
726.0,399.0,100
113.0,191.0,100
354.0,226.0,100
510.0,231.0,100
551.0,192.0,100
312.0,342.0,100
602.0,235.0,100
404.0,172.0,100
314.0,175.0,100
259.0,410.0,100
792.0,147.0,100
241.0,300.0,100
691.0,262.0,100
85.0,82.0,100
101.0,133.0,100
127.0,224.0,100
105.0,326.0,100
236.0,173.0,100
348.0,345.0,100
403.0,214.0,100
374.0,240.0,100
684.0,162.0,100
353.0,234.0,100
542.0,172.0,100
470.0,140.0,100
338.0,210.0,100
382.0,468.0,100
439.0,130.0,100
855.0,402.0,100
475.0,457.0,100
277.0,483.0,100
647.0,430.0,100
857.0,407.0,100
887.0,387.0,100
823.0,405.0,100
445.0,494.0,100
523.0,246.0,100
906.0,416.0,100
537.0,424.0,100
665.0,352.0,100
306.0,151.0,100
477.0,-57.0,100
